sentence,number,sentence owner,voice
トムは三分早くついた。,2608703,OrangeTart,huizi99
男子トイレは2階です。,2615413,tommy_san,Mizu
トムは大物を捕まえた。,2617867,OrangeTart,huizi99
トムはハンサムな男だ。,2620395,OrangeTart,huizi99
トムは泳ぐのが上手い。,2620401,OrangeTart,huizi99
トムは多分待っている。,2626300,OrangeTart,huizi99
トムは多分眠っている。,2626312,OrangeTart,huizi99
トムは多分怒っている。,2626314,OrangeTart,huizi99
トムはテレビを見てる。,2628415,OrangeTart,huizi99
トムは本を読んでいる。,2628983,tommy_san,huizi99
トムには子供がいない。,2631277,OrangeTart,huizi99
トムが階段から落ちた。,2638115,OrangeTart,huizi99
トムは階段から落ちた。,2638118,OrangeTart,huizi99
トムは泥沼にはまった。,2638219,OrangeTart,huizi99
トムはもう家に帰った。,2659118,OrangeTart,huizi99
トムはもう始めている。,2659324,OrangeTart,huizi99
親にはもう話しました。,2664558,tommy_san,Mizu
明日は用事があります。,2666765,tommy_san,Mizu
トムは97歳まで生きた。,2690805,tommy_san,huizi99
トムはいつでも明るい。,2694313,tommy_san,huizi99
トムは嘘をついている。,2697623,tommy_san,huizi99
トムは政治に無関心だ。,2698363,tommy_san,huizi99
トムは26歳で結婚した。,2700219,tommy_san,huizi99
トムは30歳で結婚した。,2700274,tommy_san,huizi99
トムは会議を欠席した。,2702376,tommy_san,huizi99
トムはとても背が高い。,2706773,tommy_san,huizi99
トムの家に雷が落ちた。,2706785,tommy_san,huizi99
明らかにトムの責任だ。,2706808,tommy_san,huizi99
トムは言い訳を始めた。,2706821,tommy_san,huizi99
トムの容体が悪化した。,2706831,tommy_san,huizi99
トムに電話してみよう。,2706839,tommy_san,huizi99
トムは全速力で走った。,2706851,tommy_san,huizi99
トムは急に笑い出した。,2706864,tommy_san,huizi99
トムは扱いにくい男だ。,2706879,tommy_san,huizi99
トムは急に泣き出した。,2706939,tommy_san,huizi99
セーターが裏返しだよ。,2719591,tommy_san,yomi
トムは少し酔っていた。,2720737,tommy_san,huizi99
トムはまだ怒っている。,2733637,tommy_san,huizi99
トムはラジオをつけた。,2733639,tommy_san,huizi99
トムは床に座っていた。,2733753,tommy_san,huizi99
トムは一人旅が好きだ。,2733761,tommy_san,huizi99
コーヒーはお好きですか？,2739786,tommy_san,Mizu
もっと幸せになりたい。,2758982,tommy_san,yomi
今日のことは忘れよう。,2780857,tommy_san,yomi
私も同じこと考えてた。,2835421,tommy_san,yomi
日本は今午前3時です。,2850571,tommy_san,Mizu
トムは卵に塩をかけた。,2858266,tommy_san,huizi99
電気をつけてください。,2858288,tommy_san,huizi99
カメラをなくしました。,2864454,tommy_san,Mizu
お母様の旧姓は何ですか？,2868653,tommy_san,Mizu
なんでこんなことしたの？,2871722,tommy_san,yomi
80円切手を1枚下さい。,2901187,tommy_san,yomi
トムはマッチを擦った。,2906778,tommy_san,huizi99
トムは作り笑いをした。,2916988,tommy_san,huizi99
私のせいにしないでよ。,2917014,tommy_san,yomi
トムんち行ったことある？,2941380,tommy_san,yomi
そんなの不公平じゃない？,2946939,tommy_san,yomi
トムは全てを否定した。,2951932,tommy_san,huizi99
それ聞いて安心したよ。,2955235,tommy_san,yomi
その必要はありません。,2975859,tommy_san,Mizu
トムはよく学校を休む。,2976546,tommy_san,huizi99
あなたは18歳以上ですか？,2976594,tommy_san,Mizu
海外旅行は初めてですか？,2984091,tommy_san,Mizu
このりんご食べてもいい？,2988215,tommy_san,yomi
風邪引かないようにね。,2993260,tommy_san,yomi
私一人っ子がよかった。,3016471,tommy_san,yomi
2時になったら寝るね。,3045973,tommy_san,yomi
ボストンは今何時ですか？,3050854,tommy_san,Mizu
娘が6月に結婚します。,3050892,tommy_san,Mizu
娘は6月に結婚します。,3050893,tommy_san,Mizu
一緒にダイエットしない？,3052932,tommy_san,yomi
春と秋ではどっちが好き？,3114624,tommy_san,yomi
好きな食べ物は何ですか？,3114646,tommy_san,Mizu
急がないと終電逃すよ。,3119000,tommy_san,yomi
そのビールいくらだった？,3122100,tommy_san,yomi
トムの声早く聞きたい。,3137746,tommy_san,yomi
私の長所って何だと思う？,3162624,tommy_san,yomi
これ何分チンしたらいい？,3162657,tommy_san,yomi
ごめん、起こしちゃった？,3169535,tommy_san,yomi
彼氏できたら教えてね。,3169735,tommy_san,yomi
先お風呂入っていいよ。,3275991,tommy_san,yomi
すみません、通ります。,3277390,tommy_san,Mizu
白ワインはお好きですか？,3283009,tommy_san,Mizu
トムにとって幸せって何？,3324259,tommy_san,yomi
トムはその写真を見た。,3362360,arnab,huizi99
わが家は4人家族です。,3374804,tommy_san,Mizu
誰か2時半に起こして。,3387837,tommy_san,yomi
もう誰も信じられない。,3395402,tommy_san,yomi
半袖で寒くないんですか？,3440367,tommy_san,yomi
トムのことまだ好きなの？,3447491,tommy_san,yomi
数学のテストどうだった？,3471764,tommy_san,yomi
このケーキ誰が作ったの？,3479289,tommy_san,yomi
これは何という花ですか？,3481397,tommy_san,Mizu
トムはため息をついた。,3491551,arnab,huizi99
お父さんはお元気ですか？,3523159,tommy_san,yomi
私のことどれくらい好き？,3530464,tommy_san,yomi
どれくらいお腹すいてる？,3551585,tommy_san,yomi
トムを泣かせてやった。,3551958,arnab,huizi99
トムに振られちゃった。,3559196,arnab,huizi99
ドライヤー借りてもいい？,3559198,tommy_san,yomi
風邪治ってよかったね。,3567548,tommy_san,yomi
PDFって何の略か知ってる？,3572565,tommy_san,yomi
トムって頑固だと思う。,3591860,arnab,huizi99
トムって運がいいよね。,3594831,arnab,huizi99
トムって気分屋だよね。,3594833,arnab,huizi99
トムは決して笑わない。,3594873,arnab,huizi99
トムは滅多に笑わない。,3594875,arnab,huizi99
トムには絶対内緒だよ。,3596854,tommy_san,yomi
トムには言わないでね。,3596906,tommy_san,yomi
トムって割と早口だね。,3597441,arnab,huizi99
トムと昨日話をしたよ。,3597448,arnab,huizi99
これ食べられるんですか？,3610726,tommy_san,Mizu
トムはよく電話で話す。,3616173,arnab,huizi99
嘘に決まってんじゃん。,3616397,tommy_san,yomi
昨日一緒にいた女の人誰？,3625005,tommy_san,yomi
おいしいもの食べたい。,3635215,tommy_san,yomi
早くしないと遅れるよ。,3638421,tommy_san,yomi
年齢聞いてもいいですか？,3677759,tommy_san,Mizu
もうその話はやめよう。,3700836,tommy_san,yomi
明日も来れたら来るね。,3710326,tommy_san,yomi
これ触ってもいいですか？,3711691,tommy_san,yomi
眠くなったら言ってね。,3714591,tommy_san,yomi
なんでそんなに頭いいの？,3717900,tommy_san,yomi
やっと二人になれたね。,3782777,tommy_san,yomi
トムは何もしていない。,4216121,Atamapan,huizi99
フランス語はできますか？,4265205,tommy_san,Mizu
トムは元気そうだった。,4292437,Nicky,huizi99
どっか行きたいとこある？,4517157,tommy_san,yomi
またトムが何か壊したの？,4715762,tommy_san,yomi
これなんていうんですか？,4772853,tommy_san,Mizu
明日は一日家にいます。,4804659,tommy_san,Mizu
このカメラいくらですか？,4817731,tommy_san,Mizu
トムは謝る必要ないよ。,4845177,tommy_san,huizi99
旅行は楽しかったですか。,78157,tommy_san,Mizu
免許証を見せてください。,80220,bunbuku,huizi99
遅れて申し訳ありません。,126707,tommy_san,Mizu
遅くなってごめんなさい。,126740,tommy_san,yomi
人前で歌うのは苦手です。,143950,tommy_san,Mizu
自転車で通勤しています。,150079,tommy_san,Mizu
ラジオを消してください。,192590,bunbuku,huizi99
やり方を教えてください。,193024,bunbuku,huizi99
もう一度やってください。,194313,bunbuku,huizi99
もうこれ以上待てません。,194459,tommy_san,Mizu
はっきり言ってください。,197982,bunbuku,huizi99
タクシーを呼んで下さい。,203703,arnab,huizi99
すぐに帰ってきて下さい。,214907,tommy__san,huizi99
この靴はイタリア製です。,222264,tommy_san,Mizu
このバスは50人乗りです。,223346,tommy_san,Mizu
コートを脱いでください。,224955,tommy_san,huizi99
お話の途中ですみません。,226506,tommy_san,Mizu
エレベーターはありますか？,1142909,bunbuku,yomi
しばらくお待ちください。,1401160,bunbuku,yomi
もうおなかいっぱいです。,1721259,anko,yomi
しばらくお持ちください。,1949268,dryhay,yomi
この単語が分かりません。,2179159,tommy_san,Mizu
よかった！何も壊れてない。,2229224,tommy_san,yomi
そんなことないと思うよ。,2232991,tommy_san,yomi
この文の時制は現在です。,2242958,tommy_san,Mizu
気温はマイナス6度です。,2281525,tommy_san,Mizu
食事が済んだら行きます。,2289371,tommy_san,Mizu
問題を再検討してみます。,2307197,tommy_san,Mizu
これ誰にもらったんですか？,2419799,tommy_san,Mizu
誰か海まで散歩に行かない？,2450319,tommy_san,yomi
トムとの間に何かあったの？,2456853,tommy_san,yomi
雑音で何も聞こえません。,2500715,tommy_san,Mizu
それはこっちの台詞だよ。,2503987,tommy_san,yomi
何も食べたくないんです。,2518669,tommy_san,Mizu
今日は最悪の一日でした。,2526766,tommy_san,Mizu
どうして信じてくれないの？,2533641,tommy_san,yomi
あなたは奇跡を信じますか？,2664703,tommy_san,Mizu
そんなこと誰に言われたの？,2691519,tommy_san,yomi
この辺りにATMはありますか？,2701316,tommy_san,Mizu
黙ってればよかったのに。,2718666,tommy_san,yomi
昨日は何時に寝たんですか？,2726763,tommy_san,Mizu
ボストンに住んでいます。,2740891,tommy_san,Mizu
この近くにATMはありますか？,2748990,tommy_san,Mizu
この付近は駐車禁止です。,2764096,tommy_san,Mizu
食中毒の経験はありますか？,2780838,tommy_san,Mizu
どっか行きたいところある？,2794995,tommy_san,yomi
トムが会いたがってたよ。,2852971,tommy_san,yomi
わざと間違えたんでしょ。,2869675,tommy_san,yomi
これ試着してもいいですか？,2869738,tommy_san,Mizu
全くおっしゃる通りです。,2912698,tommy_san,Mizu
話の続きは明日にします。,2921365,tommy_san,Mizu
すみません、前通ります。,2983012,tommy_san,Mizu
がっかりさせてごめんね。,3024841,tommy_san,yomi
今朝無事に到着しました。,3052786,tommy_san,Mizu
着くの何時ごろになりそう？,3059415,tommy_san,yomi
ごめん、ペン借りてもいい？,3096812,tommy_san,yomi
なんでバス来ないんだろう？,3114578,tommy_san,yomi
顔に嘘って書いてあるよ。,3141862,tommy_san,yomi
普段どんな音楽聴いてるの？,3179530,tommy_san,yomi
最近返事遅いけど忙しいの？,3193596,tommy_san,yomi
この人形、一人で作ったの？,3228971,tommy_san,yomi
この人形、自分で作ったの？,3228975,tommy_san,yomi
愛してるよ、いつまでも。,3299985,tommy_san,yomi
トムにバカって言われた。,3347244,tommy_san,yomi
お茶もう1杯いかがですか？,3363972,tommy_san,yomi
念のため傘持って行ったら？,3384972,tommy_san,yomi
明日のご出発は何時ですか？,3398622,tommy_san,yomi
留学の経験はおありですか？,3440945,tommy_san,Mizu
ご自由におとりください。,3459009,arnab,huizi99
どうしたの？顔真っ青だよ。,3474046,tommy_san,yomi
この箱には何が入ってるの？,3484226,tommy_san,yomi
こんな時間まで何してたの？,3484283,tommy_san,yomi
ほんとに私のこと好きなの？,3491511,tommy_san,yomi
ここに座ってもいいですか？,3495546,arnab,Mizu
駅まで一緒に歩きませんか？,3502092,tommy_san,Mizu
トムが行くなら私も行く。,3523968,tommy_san,yomi
他に何か聞きたいことある？,3561857,tommy_san,yomi
女の子とキスしたことある？,3561865,tommy_san,yomi
疲れてるならもう寝なよ。,3573104,tommy_san,yomi
お子さんはおいくつですか？,3574891,tommy_san,Mizu
そんなこと言ってないよ。,3589654,tommy_san,yomi
その自信はどこから来るの？,3589778,tommy_san,yomi
やばい、お金使いすぎた。,3591790,tommy_san,yomi
当たり前のこと言うなよ。,3596343,tommy_san,yomi
甘くないものが食べたい。,3635291,tommy_san,yomi
今回だけは許してあげる。,3649764,tommy_san,yomi
サンタさんっていると思う？,3689566,tommy_san,yomi
サンタさんって何人いるの？,3689570,tommy_san,yomi
力になれてよかったです。,3700072,tommy_san,Mizu
もうこれ以上待てないよ。,4260419,tommy_san,yomi
窓を開けてもいいですか。,4260722,tommy_san,Mizu
これほんとにスパゲッティ？,4300739,tommy_san,yomi
値段は全部同じなんですか？,4483905,tommy_san,Mizu
ごめんって言ったじゃん。,4717937,riumutu,yomi
コンサートはどうでしたか？,4751183,tommy_san,Mizu
電話番号を教えてください。,124620,bunbuku,huizi99
遅刻して申し訳ありません。,126656,tommy_san,Mizu
少々お待ちいただけますか。,146660,tommy_san,yomi
自由に召し上がって下さい。,149689,tommy__san,huizi99
嫌いな食べ物ってありますか？,175407,tommy_san,Mizu
駅はここから車で10分です。,188900,tommy_san,yomi
もう少し安くなりませんか。,194114,tommy_san,Mizu
デザートは何になさいますか？,202257,tommy_san,Mizu
ちょっと考えさせて下さい。,202776,verbum,huizi99
ご一緒できなくて残念です。,217213,tommy_san,Mizu
窓を閉めていただけませんか？,993933,mookeee,yomi
誰にも言わないでください。,1827547,bunbuku,huizi99
小さい声で話してください。,2063330,bunbuku,huizi99
もうひとつ質問があります。,2104766,bunbuku,yomi
この文の時制は現在形です。,2242961,tommy_san,Mizu
天気が良かったら行きます。,2263755,tommy_san,Mizu
すみません、間違えました。,2312026,tommy_san,Mizu
さっきのメールどういう意味？,2313031,tommy_san,yomi
出身はオーストラリアです。,2394441,tommy_san,Mizu
この絵を描いたのは誰ですか？,2416431,tommy_san,Mizu
笑いすぎて死ぬかと思った。,2416434,tommy_san,yomi
オランダ大使館はどこですか？,2418677,tommy_san,Mizu
パスポートが盗まれました。,2423918,tommy_san,Mizu
6時半に電話してください。,2429718,tommy_san,huizi99
駅までは歩いて1時間です。,2494554,tommy_san,Mizu
そんな目で見つめないでよ。,2533669,tommy_san,yomi
トムの肩ばっかり持つなよ。,2697615,tommy_san,yomi
献血をしたことはありますか？,2708965,tommy_san,Mizu
今日のトム、なんか変だよ。,2760647,tommy_san,yomi
中国人の友達は何人いますか？,2774252,tommy_san,Mizu
この野菜、英語で何ていうの？,2780845,tommy_san,yomi
何かアレルギーはありますか？,2838403,tommy_san,Mizu
何がそんなに不満なんですか？,2854322,tommy_san,yomi
うまくいったと思ったのに。,2865901,tommy_san,yomi
テレビ見てないなら消すよ。,2869681,tommy_san,yomi
今朝食が済んだところです。,2921193,tommy_san,Mizu
明日の夜が待ち遠しいです。,2947332,tommy_san,Mizu
支払いにカードは使えますか？,2955244,tommy_san,Mizu
お役に立ててうれしいです。,2967648,tommy_san,Mizu
ファイルが破損しています。,2976561,tommy_san,Mizu
ここは入口ではありません。,2988140,tommy_san,Mizu
大学時代の専攻は何でしたか？,3050901,tommy_san,Mizu
トムは心配しすぎだと思う。,3099376,tommy_san,yomi
カナダ人に生まれたかった。,3122652,tommy_san,yomi
冬休み明けないでほしいな。,3137742,tommy_san,yomi
さっきは言いすぎてごめん。,3158402,tommy_san,yomi
悲しいお知らせがあります。,3164604,tommy_san,yomi
待っててくれたの？ありがとう！,3165591,tommy_san,yomi
バレエ続けてればよかった。,3179585,tommy_san,yomi
シンガポールから来ました。,3196466,tommy_san,Mizu
そろそろ寝る時間じゃないの？,3205389,tommy_san,yomi
今日は早めに寝ようと思う。,3313205,tommy_san,yomi
メアリーってかわいいと思う？,3504005,tommy_san,yomi
疲れてるんでしょ？早く寝たら？,3513024,tommy_san,yomi
生まれてきてごめんなさい。,3516750,tommy_san,yomi
英語のメニューはありますか？,3549484,tommy_san,yomi
こんな朝早くから何してるの？,3554149,tommy_san,yomi
この近くに薬局はありますか？,3554825,tommy_san,Mizu
トムのお母さん見たことある？,3561977,tommy_san,yomi
男子ってみんな馬鹿だよね。,3596331,tommy_san,yomi
明日早いんだからもう寝たら？,3611880,tommy_san,yomi
去年のクリスマスは何してた？,3689545,tommy_san,yomi
何歳までサンタさん信じてた？,3689578,tommy_san,yomi
ビールもう一杯いかがですか？,3698210,tommy_san,Mizu
なんでそんなに英語できるの？,3716098,tommy_san,yomi
なんでそんなに料理上手いの？,3717898,tommy_san,yomi
お役に立ててよかったです。,3780822,tommy_san,yomi
早く週末にならないかなあ。,3836789,tommy_san,yomi
こんな寒いとこで何してんの？,3836941,tommy_san,yomi
ここ通ったことない道だよね？,3962512,tommy_san,yomi
映画は何時に始まりますか。,4265918,tommy_san,Mizu
それ自分がされたらどう思う？,4708825,tommy_san,yomi
マスターカードは使えますか？,4769874,tommy_san,Mizu
それ全部一人で食べるつもり？,4892684,tommy_san,huizi99
今週末までには届くはずです。,148142,tommy_san,Mizu
今はあまり時間がないのです。,172682,tommy_san,Mizu
皆さん、おはようございます。,184996,tommy_san,Mizu
家の外で待っていてください。,187048,mookeee,huizi99
雨がぱらぱら降り出しました。,189839,tommy_san,Mizu
ボールペンで書いてください。,196459,mookeee,huizi99
チューリップは今が満開です。,202944,tommy_san,Mizu
ソフトドリンクはありますか。,205990,tommy_san,Mizu
スーパーは10時に開店します。,213029,tommy_san,Mizu
ここに住所を書いてください。,224409,mookeee,huizi99
コーヒーのおかわりを下さい。,224924,bunbuku,huizi99
お飲み物はどうなさいますか。,227405,tommy_san,Mizu
ちょっと静かにしてください。,1171907,bunbuku,huizi99
借りたものは返してください。,1879943,TomoyukiTanaka,huizi99
今でも奥さんを愛していますか？,2225750,tommy_san,Mizu
フランス語は全くできません。,2231256,tommy_san,Mizu
フランス語は全く話せません。,2232987,tommy_san,Mizu
母は英語があまりできません。,2244824,tommy_san,Mizu
写真を撮っていただけませんか？,2280845,tommy_san,Mizu
悲しいことですが、真実です。,2319336,tommy_san,Mizu
この近くにお住まいなんですか？,2484512,tommy_san,yomi
その言葉は初めて聞きました。,2492447,tommy_san,Mizu
私と話したいの？話したくないの？,2519737,tommy_san,yomi
フランス語で答えてください。,2596672,OrangeTart,huizi99
洗濯機から変な音がしてるよ。,2660416,tommy_san,yomi
ご指摘ありがとうございます。,2665202,tommy_san,Mizu
チェックアウトお願いします。,2666710,tommy_san,Mizu
なんでこんなに眠いんだろう。,2710526,tommy_san,yomi
英語は読めますが話せません。,2774230,tommy_san,Mizu
カナダ人の友達は何人いますか？,2774304,tommy_san,Mizu
この機械の使い方分かりますか？,2835327,tommy_san,yomi
トムのためなら何でもするよ。,2852710,tommy_san,yomi
キリンってなんて鳴くんだろう？,2852943,tommy_san,yomi
結婚式は土曜日に行われます。,2869671,tommy_san,Mizu
一度に何冊まで借りられますか？,2869674,tommy_san,Mizu
一つ知りたいことがあります。,2948328,tommy_san,Mizu
明日は何時に迎えに行けばいい？,2960834,tommy_san,yomi
またお会いできて嬉しいです。,2962367,tommy_san,Mizu
もうちょっとだけいてくれない？,2976032,tommy_san,yomi
昨日のこと、謝りに来ました。,2976615,tommy_san,yomi
トムって変な笑い方するよね。,2982978,tommy_san,yomi
マッチで遊んではいけません。,2996267,tommy_san,Mizu
なんでそんな馬鹿なことしたの？,3010097,tommy_san,yomi
そんな暗いところで何してるの？,3017165,tommy_san,yomi
電話番号教えてもらってもいい？,3024520,tommy_san,yomi
また後ほどお電話いたします。,3024539,tommy_san,Mizu
休み取らないと倒れちゃうよ。,3045271,tommy_san,yomi
二度と私のものに触らないで。,3051193,tommy_san,yomi
このドレス、太って見えるかな？,3059318,tommy_san,yomi
パンのお代わりはいかがですか？,3071321,tommy_san,yomi
明日の朝まで待ってください。,3110695,tommy_san,huizi99
駐車場は何時まで開いてますか？,3116527,tommy_san,Mizu
トルコ料理って食べたことある？,3155508,tommy_san,yomi
このチラシもう1枚頂けますか？,3159834,tommy_san,Mizu
同窓会、何人くらい来ると思う？,3162634,tommy_san,yomi
大丈夫？ストレス溜め込んでない？,3164249,tommy_san,yomi
なんか天気悪くなってきたね。,3174248,tommy_san,yomi
新しい彼氏できたら教えてね。,3179728,tommy_san,yomi
オーストラリアから来ました。,3196469,tommy_san,yomi
もう少し考えさせてください。,3312291,tommy_san,huizi99
明日は山登りに行ってきます。,3332550,tommy_san,Mizu
どうして言ってくれなかったの？,3377480,tommy_san,yomi
トムとは普段何語で話してるの？,3395397,tommy_san,yomi
もう誰にも迷惑かけたくない。,3395419,tommy_san,yomi
すみません、出口はどこですか？,3423944,tommy_san,Mizu
お返事ありがとうございます。,3432685,tommy_san,Mizu
お支払いはいかがなさいますか？,3486249,tommy_san,Mizu
もう一回最初からやってみたら？,3513020,tommy_san,yomi
ポイントカードはお持ちですか？,3515218,tommy_san,yomi
トムが行くなら私は行かない。,3523976,tommy_san,yomi
あと5分だけ一緒にいさせて。,3538435,tommy_san,yomi
トムはどれくらいお腹すいてる？,3548591,tommy_san,yomi
すみません、ここ空いてますか？,3554844,tommy_san,yomi
もう一つ質問してもいいですか？,3559175,tommy_san,Mizu
やり方教えてくれたらやるよ。,3579912,tommy_san,yomi
私って生きてる価値あるのかな？,3583444,tommy_san,yomi
『アバター』って映画知ってる？,3583519,tommy_san,yomi
自分で言ったこと覚えてないの？,3593120,tommy_san,yomi
このスープどうやって作ったの？,3595746,tommy_san,yomi
すみません、宿題忘れました。,3596349,tommy_san,Mizu
風邪引くから早く服着なさい。,3629105,tommy_san,yomi
トムのことどれくらい好きなの？,3662129,tommy_san,yomi
すみません、これ何の列ですか？,3682345,tommy_san,yomi
お仕事は何をされてるんですか？,3700805,tommy_san,Mizu
またお話できたら嬉しいです。,3718483,tommy_san,yomi
早く夏休みにならないかなあ。,3836796,tommy_san,yomi
私だったらやらないけどなあ。,3839688,tommy_san,yomi
すみません、これいくらですか？,3845893,tommy_san,Mizu
ボストンは素晴らしい街です。,3984850,tommy_san,Mizu
お飲み物はいかがなさいますか？,4235760,tommy_san,Mizu
今年の10月で30歳になります。,4257396,tommy_san,Mizu
なんか変なもの踏んじゃった。,4312040,tommy_san,yomi
ピアノの他に何か楽器やってる？,4449043,tommy_san,yomi
心配してくれてありがとうね。,4478292,tommy_san,yomi
弟はボストンに住んでいます。,4591660,tommy_san,Mizu
兄はボストンに住んでいます。,4591662,tommy_san,Mizu
明日の英語って宿題あったっけ？,4593695,tommy_san,yomi
そんなに食べたらお腹壊すよ。,4629034,tommy_san,yomi
トムが怒ってるの見たことある？,4720152,tommy_san,yomi
ここにはよく来られるんですか？,4751844,tommy_san,Mizu
お子さんはいらっしゃいますか？,4805143,tommy_san,Mizu
今日の空は雲に覆われている。,4897800,huizi99,huizi99
トムはひとりでうちに帰った。,4898338,huizi99,huizi99
一晩泊めてもらいたいんだけど。,5064,bunbuku,yomi
暇だったら、手伝ってください。,6018,mookeee,huizi99
腱鞘炎ではないかと思うのです。,77081,tommy_san,Mizu
来週ヨーロッパに発つ予定です。,78630,tommy_san,Mizu
夕食後は外出してはいけません。,79072,tommy_san,Mizu
母がいつ戻るかは分かりません。,83178,tommy_san,Mizu
このケーキ、誰が作ったんですか？,137045,tommy_san,Mizu
私は学校にいる時が一番楽しい。,157868,nihonjin,nihonjin
嬉しいくせに。素直に喜びなよ。,183495,tommy_san,yomi
夏休みはどこかへ行きましたか。,187170,tommy_san,Mizu
はさみを貸してくださいますか。,198275,tommy_san,Mizu
どうぞおかけになってください。,201362,bunbuku,huizi99
ドアを閉めていただけませんか。,201781,tommy_san,Mizu
この番号で合っているはずです。,207152,tommy_san,Mizu
これが店で一番いいカメラです。,218851,tommy_san,Mizu
この部屋の家賃はいくらですか。,220023,tommy_san,Mizu
この赤ちゃんは生後3週間です。,220869,tommy_san,Mizu
ここから歩いてわずか10分です。,224725,tommy_san,Mizu
お誕生日おめでとうございます。,226885,tommy_san,Mizu
うちの娘は縄跳びが大好きです。,228154,tommy_san,Mizu
いくつか質問してもいいですか。,229186,tommy_san,Mizu
あの店でノートは売っていますか？,230563,tommy_san,Mizu
